trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,profit_factor,expect_val,sharpe,section
08:46,8,5,15,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,15,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,15,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,15,242,78.1,21.5,0.4,78.1,-4960,-20.0,-23.6,0.6,-20.5,-2.82,08:46
08:46,8,30,15,242,83.5,15.3,1.2,83.5,-4910,-20.0,-32.5,0.62,-20.3,-2.34,08:46
08:46,8,0,20,242,91.3,0.0,8.7,91.3,-6530,-27.0,-73.2,0.58,-27.0,-1.72,08:46
08:46,8,5,20,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,20,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,20,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,20,242,78.1,21.5,0.4,78.1,-4960,-20.0,-23.6,0.6,-20.5,-2.82,08:46
08:46,8,30,20,242,83.9,15.7,0.4,83.9,-4840,-20.0,-33.2,0.63,-20.0,-2.29,08:46
08:46,10,0,3,242,76.9,0.0,23.1,77.3,-5800,-24.0,-30.3,0.67,-24.0,-1.92,08:46
08:46,10,5,3,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
08:46,10,10,3,242,70.7,28.5,0.8,71.1,590,2.0,-13.6,1.08,2.4,0.43,08:46
08:46,10,15,3,242,70.7,27.7,1.7,71.1,-2530,-10.0,-18.0,0.82,-10.5,-1.48,08:46
08:46,10,20,3,242,71.9,25.6,2.5,72.3,-4620,-19.0,-22.1,0.71,-19.1,-2.32,08:46
08:46,10,30,3,242,74.4,16.1,9.5,74.8,-4810,-20.0,-25.2,0.71,-19.9,-2.1,08:46
08:46,10,0,5,242,79.8,0.0,20.2,80.6,-5910,-24.0,-35.7,0.69,-24.4,-1.92,08:46
08:46,10,5,5,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
08:46,10,10,5,242,71.1,28.5,0.4,71.1,620,3.0,-13.9,1.06,2.6,0.45,08:46
08:46,10,15,5,242,71.5,27.7,0.8,71.5,-2520,-10.0,-18.7,0.8,-10.4,-1.47,08:46
08:46,10,20,5,242,72.7,25.6,1.7,73.1,-4600,-19.0,-23.0,0.71,-19.0,-2.3,08:46
08:46,10,30,5,242,76.9,16.9,6.2,77.7,-4770,-20.0,-28.4,0.73,-19.7,-2.03,08:46
08:46,10,0,10,242,82.2,0.0,17.8,82.2,-6980,-29.0,-44.0,0.65,-28.8,-2.0,08:46
08:46,10,5,10,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
08:46,10,10,10,242,71.1,28.5,0.4,71.1,620,3.0,-13.9,1.06,2.6,0.45,08:46
08:46,10,15,10,242,71.5,28.1,0.4,71.5,-2580,-11.0,-18.8,0.8,-10.7,-1.5,08:46
08:46,10,20,10,242,73.1,26.4,0.4,73.1,-4780,-20.0,-23.7,0.69,-19.8,-2.37,08:46
08:46,10,30,10,242,78.5,18.2,3.3,78.5,-4550,-19.0,-30.7,0.73,-18.8,-1.91,08:46
08:46,10,0,15,242,83.9,0.0,16.1,84.7,-9040,-37.0,-54.4,0.61,-37.4,-2.18,08:46
08:46,10,5,15,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
08:46,10,10,15,242,71.1,28.5,0.4,71.1,620,3.0,-13.9,1.06,2.6,0.45,08:46
08:46,10,15,15,242,71.5,28.1,0.4,71.5,-2580,-11.0,-18.8,0.8,-10.7,-1.5,08:46
08:46,10,20,15,242,73.1,26.4,0.4,73.1,-4780,-20.0,-23.7,0.69,-19.8,-2.37,08:46
08:46,10,30,15,242,78.9,19.0,2.1,78.9,-4960,-20.0,-32.2,0.7,-20.5,-2.05,08:46
08:46,10,0,20,242,88.8,0.0,11.2,88.8,-6260,-26.0,-71.0,0.67,-25.9,-1.39,08:46
08:46,10,5,20,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
08:46,10,10,20,242,71.1,28.5,0.4,71.1,620,3.0,-13.9,1.06,2.6,0.45,08:46
08:46,10,15,20,242,71.5,28.1,0.4,71.5,-2580,-11.0,-18.8,0.8,-10.7,-1.5,08:46
08:46,10,20,20,242,73.1,26.4,0.4,73.1,-4780,-20.0,-23.7,0.69,-19.8,-2.37,08:46
08:46,10,30,20,242,79.3,20.2,0.4,79.3,-5180,-21.0,-33.4,0.69,-21.4,-2.11,08:46
08:46,15,0,3,242,64.0,0.0,36.0,65.3,-7510,-31.0,-28.2,0.73,-31.0,-1.92,08:46
08:46,15,5,3,242,53.7,45.9,0.4,53.7,4270,18.0,-9.0,1.43,17.6,2.81,08:46
08:46,15,10,3,242,55.0,43.8,1.2,55.4,-250,-1.0,-13.7,0.99,-1.0,-0.13,08:46
08:46,15,15,3,242,55.8,40.9,3.3,56.2,-4140,-17.0,-17.7,0.8,-17.1,-1.86,08:46
08:46,15,20,3,242,57.9,36.0,6.2,58.3,-6350,-26.0,-21.3,0.72,-26.2,-2.51,08:46
