result,pnl,tick,time_window,entry,date,month
TP,255.24800000000005,2,5,892.0,2024-09-09,2024-09
TP,255.24800000000005,2,10,892.0,2024-09-09,2024-09
TP,255.24800000000005,2,15,892.0,2024-09-09,2024-09
TP,255.24800000000005,2,20,892.0,2024-09-09,2024-09
TP,255.24800000000005,2,30,892.0,2024-09-09,2024-09
TP,1255.248,3,5,892.0,2024-09-09,2024-09
TP,1255.248,3,10,892.0,2024-09-09,2024-09
TP,1255.248,3,15,892.0,2024-09-09,2024-09
TP,1255.248,3,20,892.0,2024-09-09,2024-09
TP,1255.248,3,30,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,5,5,892.0,2024-09-09,2024-09
TIMEOUT,-744.752,5,10,892.0,2024-09-09,2024-09
TP,3255.248,5,15,892.0,2024-09-09,2024-09
TP,3255.248,5,20,892.0,2024-09-09,2024-09
TP,3255.248,5,30,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,8,5,892.0,2024-09-09,2024-09
TIMEOUT,-744.752,8,10,892.0,2024-09-09,2024-09
TIMEOUT,2255.248,8,15,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,8,20,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,8,30,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,10,5,892.0,2024-09-09,2024-09
TIMEOUT,-744.752,10,10,892.0,2024-09-09,2024-09
TIMEOUT,2255.248,10,15,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,10,20,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,10,30,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,15,5,892.0,2024-09-09,2024-09
TIMEOUT,-744.752,15,10,892.0,2024-09-09,2024-09
TIMEOUT,2255.248,15,15,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,15,20,892.0,2024-09-09,2024-09
TIMEOUT,255.24800000000005,15,30,892.0,2024-09-09,2024-09
TIMEOUT,-3862.112,1,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,1,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,1,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,1,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,1,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,2,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,2,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,2,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,2,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,2,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,3,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,3,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,3,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,3,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,3,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,5,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,5,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,5,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,5,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,5,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,8,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,8,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,8,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,8,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,8,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,10,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,10,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,10,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,10,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,10,30,952.0,2024-09-16,2024-09
TIMEOUT,-3862.112,15,5,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,15,10,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,15,15,952.0,2024-09-16,2024-09
TIMEOUT,-7862.112,15,20,952.0,2024-09-16,2024-09
TIMEOUT,-6862.112,15,30,952.0,2024-09-16,2024-09
TIMEOUT,-6848.42,1,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,1,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,1,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,1,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,1,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,2,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,2,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,2,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,2,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,2,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,3,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,3,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,3,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,3,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,3,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,5,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,5,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,5,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,5,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,5,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,8,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,8,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,8,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,8,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,8,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,10,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,10,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,10,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,10,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,10,30,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,15,5,945.0,2024-09-18,2024-09
TIMEOUT,-5848.42,15,10,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,15,15,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,15,20,945.0,2024-09-18,2024-09
TIMEOUT,-6848.42,15,30,945.0,2024-09-18,2024-09
TIMEOUT,-2918.836,1,5,981.0,2024-09-20,2024-09
TP,-918.8359999999998,1,10,981.0,2024-09-20,2024-09
TP,-918.8359999999998,1,15,981.0,2024-09-20,2024-09
TP,-918.8359999999998,1,20,981.0,2024-09-20,2024-09
