result,pnl,tick,date,month,stock
TP,1203.666,3,2026-04-16,2026-04,2597
TIMEOUT,-1296.334,5,2026-04-16,2026-04,2597
TIMEOUT,-1296.334,8,2026-04-16,2026-04,2597
TP,2682.14,1,2026-04-16,2026-04,5269
TP,7682.139999999999,2,2026-04-16,2026-04,5269
TP,12682.14,3,2026-04-16,2026-04,5269
TP,22682.14,5,2026-04-16,2026-04,5269
TP,37682.14,8,2026-04-16,2026-04,5269
TP,2848.4,1,2026-04-16,2026-04,8996
TP,7848.4,2,2026-04-16,2026-04,8996
TP,12848.4,3,2026-04-16,2026-04,8996
TP,22848.4,5,2026-04-16,2026-04,8996
TP,37848.4,8,2026-04-16,2026-04,8996
TP,147.92000000000007,1,2026-04-16,2026-04,8454
TP,647.9200000000001,2,2026-04-16,2026-04,8454
TP,1147.92,3,2026-04-16,2026-04,8454
TP,2147.92,5,2026-04-16,2026-04,8454
TIMEOUT,-852.0799999999999,8,2026-04-16,2026-04,8454
TP,277.016,1,2026-04-16,2026-04,1815
TP,777.0160000000001,2,2026-04-16,2026-04,1815
TP,1277.016,3,2026-04-16,2026-04,1815
TP,2277.016,5,2026-04-16,2026-04,1815
TP,3777.016,8,2026-04-16,2026-04,1815
TP,242.786,1,2026-04-16,2026-04,3042
TP,742.7860000000001,2,2026-04-16,2026-04,3042
TP,1242.786,3,2026-04-16,2026-04,3042
TP,2242.786,5,2026-04-16,2026-04,3042
TP,3742.786,8,2026-04-16,2026-04,3042
TP,237.89600000000002,1,2026-04-16,2026-04,3231
TP,737.896,2,2026-04-16,2026-04,3231
TP,1237.896,3,2026-04-16,2026-04,3231
TIMEOUT,-262.104,5,2026-04-16,2026-04,3231
TIMEOUT,-262.104,8,2026-04-16,2026-04,3231
TP,293.64200000000005,1,2026-04-16,2026-04,4919
TP,793.642,2,2026-04-16,2026-04,4919
TP,1293.642,3,2026-04-16,2026-04,4919
TP,2293.642,5,2026-04-16,2026-04,4919
TP,3793.642,8,2026-04-16,2026-04,4919
TP,2799.5,1,2026-04-16,2026-04,5289
TP,7799.5,2,2026-04-16,2026-04,5289
TIMEOUT,-42200.5,3,2026-04-16,2026-04,5289
TIMEOUT,-42200.5,5,2026-04-16,2026-04,5289
TIMEOUT,-42200.5,8,2026-04-16,2026-04,5289
TP,2427.86,1,2026-04-17,2026-04,5269
TP,7427.860000000001,2,2026-04-17,2026-04,5269
TIMEOUT,-47572.14,3,2026-04-17,2026-04,5269
TIMEOUT,-47572.14,5,2026-04-17,2026-04,5269
TIMEOUT,-47572.14,8,2026-04-17,2026-04,5269
TP,2936.42,1,2026-04-17,2026-04,3324
TP,7936.42,2,2026-04-17,2026-04,3324
TP,12936.42,3,2026-04-17,2026-04,3324
TP,22936.42,5,2026-04-17,2026-04,3324
TIMEOUT,-22063.58,8,2026-04-17,2026-04,3324
TP,287.774,1,2026-04-17,2026-04,2481
TP,787.774,2,2026-04-17,2026-04,2481
TP,1287.7740000000001,3,2026-04-17,2026-04,2481
TP,2287.774,5,2026-04-17,2026-04,2481
TP,3787.774,8,2026-04-17,2026-04,2481
TP,220.29200000000003,1,2026-04-17,2026-04,3042
TP,720.292,2,2026-04-17,2026-04,3042
TP,1220.292,3,2026-04-17,2026-04,3042
TP,2220.292,5,2026-04-17,2026-04,3042
TP,3720.292,8,2026-04-17,2026-04,3042
TP,1332.5000000000005,1,2026-04-17,2026-04,6805
TP,6332.5,2,2026-04-17,2026-04,6805
TP,11332.5,3,2026-04-17,2026-04,6805
TP,21332.5,5,2026-04-17,2026-04,6805
TP,36332.5,8,2026-04-17,2026-04,6805
TP,253.544,1,2026-04-17,2026-04,5483
TP,753.544,2,2026-04-17,2026-04,5483
TP,1253.544,3,2026-04-17,2026-04,5483
TIMEOUT,-1746.456,5,2026-04-17,2026-04,5483
TIMEOUT,-1746.456,8,2026-04-17,2026-04,5483
TP,240.83000000000004,1,2026-04-17,2026-04,5347
TP,740.83,2,2026-04-17,2026-04,5347
TP,1240.83,3,2026-04-17,2026-04,5347
TP,2240.83,5,2026-04-17,2026-04,5347
TP,3740.83,8,2026-04-17,2026-04,5347
TP,2623.46,1,2026-04-17,2026-04,1590
TP,7623.46,2,2026-04-17,2026-04,1590
TP,12623.46,3,2026-04-17,2026-04,1590
TP,22623.46,5,2026-04-17,2026-04,1590
TP,37623.46,8,2026-04-17,2026-04,1590
TP,2995.1000000000004,1,2026-04-17,2026-04,6781
TP,7995.1,2,2026-04-17,2026-04,6781
TP,12995.1,3,2026-04-17,2026-04,6781
TIMEOUT,12995.1,5,2026-04-17,2026-04,6781
TIMEOUT,12995.1,8,2026-04-17,2026-04,6781
TP,274.082,1,2026-04-17,2026-04,1815
TP,774.082,2,2026-04-17,2026-04,1815
TP,1274.082,3,2026-04-17,2026-04,1815
TP,2274.082,5,2026-04-17,2026-04,1815
TP,3774.082,8,2026-04-17,2026-04,1815
TIMEOUT,-3305.136,1,2026-04-17,2026-04,1513
TIMEOUT,-3305.136,2,2026-04-17,2026-04,1513
TIMEOUT,-3305.136,3,2026-04-17,2026-04,1513
TIMEOUT,-3305.136,5,2026-04-17,2026-04,1513
TIMEOUT,-3305.136,8,2026-04-17,2026-04,1513
TP,2985.32,1,2026-04-17,2026-04,8210
TP,7985.32,2,2026-04-17,2026-04,8210
TP,12985.32,3,2026-04-17,2026-04,8210
TIMEOUT,-12014.68,5,2026-04-17,2026-04,8210
TIMEOUT,-12014.68,8,2026-04-17,2026-04,8210
TP,191.93000000000006,1,2026-04-17,2026-04,2645
TP,691.9300000000001,2,2026-04-17,2026-04,2645
TP,1191.93,3,2026-04-17,2026-04,2645
TP,2191.9300000000003,5,2026-04-17,2026-04,2645
TP,3691.9300000000003,8,2026-04-17,2026-04,2645
TP,228.11600000000004,1,2026-04-17,2026-04,1785
TP,728.116,2,2026-04-17,2026-04,1785
TP,1228.116,3,2026-04-17,2026-04,1785
TP,2228.116,5,2026-04-17,2026-04,1785
TP,3728.116,8,2026-04-17,2026-04,1785
TP,2877.7400000000002,1,2026-04-17,2026-04,8996
TP,7877.74,2,2026-04-17,2026-04,8996
TP,12877.74,3,2026-04-17,2026-04,8996
TP,22877.74,5,2026-04-17,2026-04,8996
TP,37877.74,8,2026-04-17,2026-04,8996
TP,109.77800000000002,1,2026-04-17,2026-04,1503
TIMEOUT,-2390.2219999999998,2,2026-04-17,2026-04,1503
TIMEOUT,-2390.2219999999998,3,2026-04-17,2026-04,1503
TIMEOUT,-2390.2219999999998,5,2026-04-17,2026-04,1503
TIMEOUT,-2390.2219999999998,8,2026-04-17,2026-04,1503
TIMEOUT,-227.874,1,2026-04-17,2026-04,9917
TIMEOUT,-227.874,2,2026-04-17,2026-04,9917
TIMEOUT,-227.874,3,2026-04-17,2026-04,9917
TIMEOUT,-227.874,5,2026-04-17,2026-04,9917
TIMEOUT,-227.874,8,2026-04-17,2026-04,9917
TP,253.544,1,2026-04-17,2026-04,2385
TP,753.544,2,2026-04-17,2026-04,2385
TIMEOUT,-746.456,3,2026-04-17,2026-04,2385
TIMEOUT,-746.456,5,2026-04-17,2026-04,2385
TIMEOUT,-746.456,8,2026-04-17,2026-04,2385
TP,239.85200000000003,1,2026-04-17,2026-04,3231
TP,739.8520000000001,2,2026-04-17,2026-04,3231
TP,1239.852,3,2026-04-17,2026-04,3231
TP,2239.852,5,2026-04-17,2026-04,3231
TP,3739.852,8,2026-04-17,2026-04,3231
TP,232.02800000000002,1,2026-04-17,2026-04,2412
